#,table,category,field_name,field_type,dropdown_id,on_c01985_screen,airtable_field_id
281,Case,hidden on C-01985 screen,Experts Paid,checkbox,,no,fldXo7t4cKqMuAV8G
282,Case,hidden on C-01985 screen,Deposition Paid,checkbox,,no,fldrCQjiFI9rYhvoo
283,Case,hidden on C-01985 screen,Umpire Paid,checkbox,,no,fldrK38lEyGYbgCJ1
284,Case,hidden on C-01985 screen,Building Consultant Paid,checkbox,,no,fldhZibcpYVM9sKM0
285,Case,hidden on C-01985 screen,Latest Undisp Check Amt,money,,no,fldO5Do6ZtBHRYvrX
286,Case,hidden on C-01985 screen,Settlement Check Amt,money,,no,fld40L2FRhfPkDZEh
287,Case,hidden on C-01985 screen,Motions Paid,checkbox,,no,fldCiSYyevGypTLAz
288,Case,hidden on C-01985 screen,Check (1) Amount,money,,no,fld7dhJ0lbbceLl8y
289,Case,hidden on C-01985 screen,Check (1) Type,dropdown,D36,no,fldnAULmtKz6VbVrN
290,Case,hidden on C-01985 screen,Check (1) Legal Fee %,percent,,no,fld1qjBRjtfnSRyhw
291,Case,hidden on C-01985 screen,Check (2) Amount,money,,no,fld0zbOfreW9SXPmd
292,Case,hidden on C-01985 screen,Check (2) Type,dropdown,D37,no,fldoEO7jDRAMR7les
293,Case,hidden on C-01985 screen,Check (2) Legal Fee %,percent,,no,fldGasyYVVHttEhex
294,Case,hidden on C-01985 screen,Co-Counsel Fee Split %,dropdown,D38,no,flddzD27kezMfsGmA
295,Case,hidden on C-01985 screen,Check (1) Image,file,,no,fldzSEgwnXfKmGCyL
296,Case,hidden on C-01985 screen,Check (2) Image,file,,no,fld3wYXpgaZBtJSZt
297,Case,hidden on C-01985 screen,Check (1) Legal Fee,formula,,no,fldv2FL6az5i23ZA2
298,Case,hidden on C-01985 screen,Check (1) Client Net Disb.,formula,,no,fldMQIKeGEAt8cFlS
299,Case,hidden on C-01985 screen,Check (1) Co-Counsel Fee,formula,,no,fldOrwZVEcg1Cr6FW
300,Case,hidden on C-01985 screen,Check (1) RS Bonus,formula,,no,fld1OKckAmisdLi3e
301,Case,hidden on C-01985 screen,Check (1) Disb. Directions,file,,no,fldTrb1vkoSTg6ckC
302,Case,hidden on C-01985 screen,Check (1) CLG Net,formula,,no,fldIuMFXcuLEkOJkV
303,Case,hidden on C-01985 screen,Check (1) Assoc. Co. Fee,formula,,no,fldTnUmItlCu9t8D9
304,Case,hidden on C-01985 screen,Assoc. Counsel Fee Split %,dropdown,D39,no,fldg1IkHcWqdFIhoq
305,Case,hidden on C-01985 screen,Check (1) Deposit Date,date,,no,fldPovJXDwclnh19G
306,Case,hidden on C-01985 screen,Check (1) Co-Counsel Fee %,percent,,no,fldz457FyRnOpB5hF
307,Case,hidden on C-01985 screen,Check (1) Assoc. Co Fee %,percent,,no,fldbRqkYGkbbwlYg3
308,Case,hidden on C-01985 screen,Check (1) RS Bonus %,percent,,no,fldrIeNrbV72TIda6
309,Case,hidden on C-01985 screen,RS Bonus %,dropdown,D40,no,fldVPA9sJAAKaQ8yV
310,Case,hidden on C-01985 screen,Litigation Fees & Costs,formula,,no,fldJKTtdGbYnvPOua
311,Case,hidden on C-01985 screen,Check (1) Settl. Client Net Disb.,formula,,no,fldhZdUbHgwKCqshI
312,Case,hidden on C-01985 screen,Check (2) Deposit Date,date,,no,fldtsoh5JesagrJ2X
313,Case,hidden on C-01985 screen,Check (2) Disb. Directions,file,,no,fldoqbTXySnQk34hy
314,Case,hidden on C-01985 screen,Check (2) Co-Counsel Fee %,percent,,no,fld51tEmzz5lh4jIH
315,Case,hidden on C-01985 screen,Check (2) Assoc. Co Fee %,percent,,no,fldZlX65y3vO4uSX0
316,Case,hidden on C-01985 screen,Check (2) RS Bonus %,percent,,no,fldvsbz7wfyPD7Kns
317,Case,hidden on C-01985 screen,Check (2) Legal Fee,formula,,no,fld6QmAnIlFsZqe6j
318,Case,hidden on C-01985 screen,Check (2) Client Net Disb.,formula,,no,fldZ6GYNS9SmLLXYR
319,Case,hidden on C-01985 screen,Check (2) Co-Counsel Fee,formula,,no,fldbFw1Kb6JhGHZXa
320,Case,hidden on C-01985 screen,Check (2) Assoc. Co. Fee,formula,,no,fldygWrBS9c9LiFwm
321,Case,hidden on C-01985 screen,Check (2) RS Bonus,formula,,no,fldqSIYJWZTAdMKgy
322,Case,hidden on C-01985 screen,Check (2) CLG Net,formula,,no,fldQ85zlCXrJyn8gh
323,Case,hidden on C-01985 screen,Check (2) Settl. Client Net Disb.,formula,,no,fld9jJqBj05NSvCwW
324,Case,hidden on C-01985 screen,Check (3) Deposit Date,date,,no,fldJ9AKwMGqOINP07
325,Case,hidden on C-01985 screen,Check (3) Image,file,,no,fld66vEc9VTsI9o4B
326,Case,hidden on C-01985 screen,Check (3) Type,dropdown,D41,no,fldi1Zqc5orHiVG8u
327,Case,hidden on C-01985 screen,Check (3) Amount,money,,no,fldka6NICoPPzDvVx
328,Case,hidden on C-01985 screen,Check (3) Disb. Directions,file,,no,fld43es9SvIv8deGy
329,Case,hidden on C-01985 screen,Check (3) Legal Fee %,percent,,no,fldkS3JxRx1jS68xq
330,Case,hidden on C-01985 screen,Check (3) Co-Counsel Fee %,percent,,no,fldRFGd51HR0neurm
331,Case,hidden on C-01985 screen,Check (3) Assoc. Co Fee %,percent,,no,fldQnkHYmt5qj9PFn
332,Case,hidden on C-01985 screen,Check (3) RS Bonus %,percent,,no,fldF3mFKQwwptorIx
333,Case,hidden on C-01985 screen,Check (3) Legal Fee,formula,,no,fld8XaGfMtfi9OOxd
334,Case,hidden on C-01985 screen,Check (3) Client Net Disb.,formula,,no,fld2vfb4VywG0rCIX
335,Case,hidden on C-01985 screen,Check (3) Co-Counsel Fee,formula,,no,fldmTjI6arXZfpKB2
336,Case,hidden on C-01985 screen,Check (3) Assoc. Co. Fee,formula,,no,fldOy0LC6mCim7hpX
337,Case,hidden on C-01985 screen,Check (3) RS Bonus,formula,,no,fldkRHc8YQ5udfjxm
338,Case,hidden on C-01985 screen,Check (3) CLG Net,formula,,no,fldKy1ZOYK6vbkalP
339,Case,hidden on C-01985 screen,Check (3) Settl. Client Net Disb.,formula,,no,fldXTWDNnVdGGpzNY
340,Case,hidden on C-01985 screen,Check (4) Deposit Date,date,,no,fldtFO47hjpTEEtS5
341,Case,hidden on C-01985 screen,Check (4) Image,file,,no,fldykoV6vEky5WJqD
342,Case,hidden on C-01985 screen,Check (4) Type,dropdown,D42,no,fldpybkzIX92jk5CR
343,Case,hidden on C-01985 screen,Check (4) Amount,money,,no,fldgIqp1yQu7sZPzX
344,Case,hidden on C-01985 screen,Check (4) Disb. Directions,file,,no,fldMFhc8lIgxEOTQR
345,Case,hidden on C-01985 screen,Check (4) Legal Fee %,percent,,no,fldNi6IziheIDwIwL
346,Case,hidden on C-01985 screen,Check (4) Co-Counsel Fee %,percent,,no,fldSiry5IZJyXkHpE
347,Case,hidden on C-01985 screen,Check (4) Assoc. Co Fee %,percent,,no,fldo7Xn9rwLpT0djl
348,Case,hidden on C-01985 screen,Check (4) RS Bonus %,percent,,no,flddYQI4uQio7Mxd8
349,Case,hidden on C-01985 screen,Check (4) Legal Fee,formula,,no,fld6JtJ4gGWya5yOQ
350,Case,hidden on C-01985 screen,Check (4) Client Net Disb.,formula,,no,fldKuunsf5LXrl7ai
351,Case,hidden on C-01985 screen,Check (4) Co-Counsel Fee,formula,,no,fld5n7AaCOkDxoy1O
352,Case,hidden on C-01985 screen,Check (4) Assoc. Co Fee,formula,,no,fldDHChSRwVFPY85S
353,Case,hidden on C-01985 screen,Check (4) RS Bonus,formula,,no,fldEv9sDCAuDnZmSR
354,Case,hidden on C-01985 screen,Check (4) CLG Net,formula,,no,fldP8TJGADzqaFjMI
355,Case,hidden on C-01985 screen,Check (4) Settl. Client Net Disb.,formula,,no,fldPdcGbZdPqwCphZ
356,Case,hidden on C-01985 screen,Check (5) Deposit Date,date,,no,fldeh7xvWxPcvCJmm
357,Case,hidden on C-01985 screen,Check (5) Image,file,,no,fldQANruXqateuuUd
358,Case,hidden on C-01985 screen,Check (5) Type,dropdown,D43,no,fldNZlxdtBmsX2nXH
359,Case,hidden on C-01985 screen,Check (5) Amount,money,,no,flde0edr469jyHAus
360,Case,hidden on C-01985 screen,Check (5) Disb. Directions,file,,no,fldUNC235cu6IWtrA
361,Case,hidden on C-01985 screen,Check (5) Legal Fee %,percent,,no,fldV2TweziVxYue9Z
362,Case,hidden on C-01985 screen,Check (5) Co-Counsel Fee %,percent,,no,fldnchIUmIsBkrWBg
363,Case,hidden on C-01985 screen,Check (5) Assoc. Co Fee %,percent,,no,fldfJJrOhaHixpELB
364,Case,hidden on C-01985 screen,Check (5) RS Bonus %,percent,,no,fldkJK3LinxJHKHzU
365,Case,hidden on C-01985 screen,Check (5) Legal Fee,formula,,no,fldaImhnDcvCqJbXI
366,Case,hidden on C-01985 screen,Check (5) Client Net Disb.,formula,,no,fldoWz3IC4mYPoMvj
367,Case,hidden on C-01985 screen,Check (5) Co-Counsel Fee,formula,,no,fld8SAZUR1KAENg4e
368,Case,hidden on C-01985 screen,Check (5) Assoc. Co. Fee,formula,,no,fldJ3ut70XbnERZsD
369,Case,hidden on C-01985 screen,Check (5) RS Bonus,formula,,no,fldSKiOioZYeJo79s
370,Case,hidden on C-01985 screen,RP Fee Split %,dropdown,D44,no,fldWwfkOhdVPCvagV
371,Case,hidden on C-01985 screen,Check (1) RP Fee Split %,percent,,no,fldO1gN4NEDZlRcj7
372,Case,hidden on C-01985 screen,Check (2) RP Fee Split %,percent,,no,fldTOF52xB03obvCB
373,Case,hidden on C-01985 screen,Check (3) RP Fee Split %,percent,,no,fldF8moymnpe4RsBw
374,Case,hidden on C-01985 screen,Check (4) RP Fee Split %,percent,,no,fldiYpAqxs14tN3cR
375,Case,hidden on C-01985 screen,Check (5) RP Fee Split %,percent,,no,fldJfL6weYF0ranvD
376,Case,hidden on C-01985 screen,Check (1) RP Fee Split,formula,,no,fldHXQvKodKnUDxHK
377,Case,hidden on C-01985 screen,Check (2) RP Fee Split,formula,,no,fldXyUpUvKBrqFdCF
378,Case,hidden on C-01985 screen,Check (3) RP Fee Split,formula,,no,flddeK8vNAdRMEdsj
379,Case,hidden on C-01985 screen,Check (4) RP Fee Split,formula,,no,fldn3iXnB6X6dd0bL
380,Case,hidden on C-01985 screen,Check (5) RP Fee Split,formula,,no,fldKhhbRblq3O3lpN
381,Case,hidden on C-01985 screen,Check (5) CLG Net,formula,,no,fldXxSpPfNIPe67ji
382,Case,hidden on C-01985 screen,Check (5) Settl. Client Net Disb.,formula,,no,fldlCTh67XPKTfH8L
383,Case,hidden on C-01985 screen,SUM of Checks Received,formula,,no,fldDs0prFMjsWSsjn
384,Case,hidden on C-01985 screen,Insurance Co.,formula,,no,fld5QvuJUg7oo6MMR
385,Case,hidden on C-01985 screen,DOL,formula,,no,fld5Bpelzb1PObKlX
386,Case,hidden on C-01985 screen,Claim No.,formula,,no,fldWU9dzHd9decehm
387,Case,hidden on C-01985 screen,Settlement Statement Sent,checkbox,,no,fldPZMyQ8V1hr2QlY
388,Case,hidden on C-01985 screen,Co-Counsel Attorney & Staff (from Conveyor Users 2),lookup,,no,fldeHuj7SaBHB20wi
389,Case,hidden on C-01985 screen,CLG Staff (from Conveyor Users 2),lookup,,no,fldOa6h1aS7LDBq6u
390,Case,hidden on C-01985 screen,CLG Demo Staff (from Conveyor Users 2),lookup,,no,fldeokPYlCBnY2hIT
391,Case,hidden on C-01985 screen,RS Email,formula,,no,fldtuQqgIyGHS82ap
392,Case,hidden on C-01985 screen,Appraisers (from Appraiser User),lookup,,no,fldrBU1MCHTXM2cUs
393,Case,hidden on C-01985 screen,Building Consultant (from Building Consultant User),lookup,,no,fldEaMk20mXNKDDoY
394,Case,hidden on C-01985 screen,Engineer/Expert (from Expert Users),lookup,,no,fldXC8nCxM96eeHDo
395,Case,hidden on C-01985 screen,Referral Partner (from Referral Partner User),lookup,,no,fldxl5VM2lWxHcVCd
396,Case,hidden on C-01985 screen,CLG Staff (from Building Consult. User),lookup,,no,fldy0upmglY8R8maO
397,Case,hidden on C-01985 screen,CLG Staff (from Referral Partner User),lookup,,no,fldQtNKbb02FzD9tI
398,Case,hidden on C-01985 screen,CLG Staff (from Engineer/Expert User),lookup,,no,fldgmL4h4arDkMHxu
399,Case,hidden on C-01985 screen,CLG Staff (from Appraiser User),lookup,,no,fldnedr4so7TRTQqr
400,Case,hidden on C-01985 screen,PL Email,formula,,no,fldSYEmgq5duQJWSU
401,Case,hidden on C-01985 screen,Co-Counsel Email,lookup,,no,flddpl1aOOBnKP1K1
402,Case,hidden on C-01985 screen,SOL Deadline Notification,formula,,no,fld1JnMeZHvn2UASd
403,Case,hidden on C-01985 screen,Co-Counsel Email (text),rollup,,no,fldvzcXKY3ma5qDFN
404,Case,hidden on C-01985 screen,60 day Notice Sent,checkbox,,no,fldrnef1jDxXD2VPF
405,Case,hidden on C-01985 screen,60 day Notice Date,date,,no,fldWeRwUjGc1rtj7Y
406,Case,hidden on C-01985 screen,Appraiser Paid,checkbox,,no,fldX9s7j7vMxp3yts
407,Case,hidden on C-01985 screen,PA Fee %,dropdown,D45,no,fldXC3k5xEATH7yBZ
408,Case,hidden on C-01985 screen,Check (1) PA Fee %,percent,,no,fldhBExMhIEUV1dLd
409,Case,hidden on C-01985 screen,Check (3) PA Fee %,percent,,no,fldMbQPMv6UfSlb5u
410,Case,hidden on C-01985 screen,Check (4) PA Fee %,percent,,no,fldU2Je9Nm2gxaS4r
411,Case,hidden on C-01985 screen,Check (5) PA Fee %,percent,,no,fldZNcqJQ13YTW48u
412,Case,hidden on C-01985 screen,Check (1) PA Invoice,money,,no,fldcZxMBK0CR3ZNXL
413,Case,hidden on C-01985 screen,Check (2) PA Invoice,money,,no,fldulnB5S1HZmvSwI
414,Case,hidden on C-01985 screen,Check (3) PA Invoice,money,,no,fldDhKTJOt1UI0TXW
415,Case,hidden on C-01985 screen,Check (4) PA Invoice,money,,no,fldFb1IcTllR65fnW
416,Case,hidden on C-01985 screen,Check (5) PA Invoice,money,,no,fldVCJVgL4lAn3iKe
417,Case,hidden on C-01985 screen,Check (2) PA Fee %,percent,,no,fldinAslGelodpoCQ
418,Case,hidden on C-01985 screen,Check (1) PA Fee Percent.,formula,,no,fldfjggx7Iz5ekBli
419,Case,hidden on C-01985 screen,Check (2) PA Fee Percent.,formula,,no,fld8GHLOfyfpZWS1Y
420,Case,hidden on C-01985 screen,Check (3) PA Fee Percent.,formula,,no,fldk2GtkftQRNFWzZ
421,Case,hidden on C-01985 screen,Check (4) PA Fee Percent.,formula,,no,fldEzbvgiwjPNu21o
422,Case,hidden on C-01985 screen,Check (5) PA Fee Percent.,formula,,no,fldFrVZbfT5m4PTFE
423,Case,hidden on C-01985 screen,SUM of Legal Fees,formula,,no,fldOMFDHfHd3mVy75
424,Case,hidden on C-01985 screen,SUM of PA Fee Percent,formula,,no,fldG6bVobmkcuXc1D
425,Case,hidden on C-01985 screen,SUM of Client Net Disb.,formula,,no,fldnobp4Q6TXZY7Sh
426,Case,hidden on C-01985 screen,SUM of Settle. Client Net Disb.,formula,,no,fldR3M81uhIcnF9nf
427,Case,hidden on C-01985 screen,SUM of Co-Counsel Fee,formula,,no,fldrsiZ6WiM16ES4k
428,Case,hidden on C-01985 screen,SUM of Assoc. Co Fee,formula,,no,fldWaO0HzR0ENUkVy
429,Case,hidden on C-01985 screen,SUM of RS Fee,formula,,no,fldbiiyPcLbXXQM7m
430,Case,hidden on C-01985 screen,SUM of RP Fee Split Fee,formula,,no,fldIlptg4v7zKVdad
431,Case,hidden on C-01985 screen,SUM of CLG Net,formula,,no,fldiirJ4KcA9jIXXQ
432,Case,hidden on C-01985 screen,Accounting Next Steps,dropdown,D46,no,flduHNbSbrKDOqLqF
433,Case,hidden on C-01985 screen,Insured's Appraiser Assigned,last modified time,,no,fldB0BgVXqUxpb3kz
434,Case,hidden on C-01985 screen,Appraisal Completed Date (checkbox),last modified time,,no,fld8XtuIx9nCYYXuj
435,Case,hidden on C-01985 screen,Days Pending w/ Appraiser,formula,,no,fld7v2f7Q3Clwq4zp
436,Case,hidden on C-01985 screen,Referral Partner Email Lookup,lookup,,no,fldmhp5MboNvwwwMw
437,Case,hidden on C-01985 screen,Diseng. Email to RP Sent,checkbox,,no,fldUdgFz1aIkHQq9f
438,Case,hidden on C-01985 screen,From field: Associated Client Cases,link to record,,no,fldvNofjKcFW2iI58
439,Case,hidden on C-01985 screen,Appraiser Email,rollup,,no,fldtRYIHzPRnolV4e
440,Case,hidden on C-01985 screen,CLG Demo Staff (from Associate Counsel - Portal Access),lookup,,no,fldS57segDjUbhUvc
441,Case,hidden on C-01985 screen,Associate Counsel (from Associate Counsel - Portal Access),lookup,,no,fldG8N5w8bx1Cj8ge
442,Case,hidden on C-01985 screen,CLG Staff (from Associate Counsel - Portal Access),lookup,,no,fld0YweY8gU41jaAX
443,Case,hidden on C-01985 screen,Claim Tasks,link to record,,no,fld0D2I0286AcI1AC
444,Case,hidden on C-01985 screen,💬 Comments,link to record,,no,fldNJyWVV8JiIE78v
445,Case,hidden on C-01985 screen,Everson Files,dropdown,D47,no,fld6tNBTUqn0uANKk
446,Referred Cases,Referred Cases,Client Name,text,,n/a,fld7WNhxkIkeSvpNN
447,Referred Cases,Referred Cases,Create Managed Case,checkbox,,n/a,fld9Z1vGSMgkRK2pG
448,Referred Cases,Referred Cases,Associated Case,link to record,,n/a,fldM11FDP7sdkFy7w
449,Referred Cases,Referred Cases,Insurance Estimate & Docs,file,,n/a,fldSDpVL10ucoKhpj
450,Referred Cases,Referred Cases,Insurance Checks,file,,n/a,fldorOUbDypyLoC7V
451,Referred Cases,Referred Cases,JPA Estimate,file,,n/a,fldKFP73USC8QZwPD
452,Referred Cases,Referred Cases,JPA Strategy Docs,file,,n/a,fld4K7mORCGAR9S7f
453,Referred Cases,Referred Cases,Insurance Policy PDF,file,,n/a,fldTSN2gmHU6cvFQv
454,Referred Cases,Referred Cases,Contract,file,,n/a,fldwE9cKJlugvYF0F
455,Referred Cases,Referred Cases,Roof Report,file,,n/a,fld09rLk4EDDNZdE7
456,Referred Cases,Referred Cases,Contractor Photos,file,,n/a,flddOlu8yY7iHLMd1
457,Referred Cases,Referred Cases,Hail Report,file,,n/a,fldLhl4qnwNk1Chr0
458,Referred Cases,Referred Cases,Inspection Report,file,,n/a,fldDPMfPl83JEGT8f
459,Referred Cases,Referred Cases,LOR,file,,n/a,fldGPAXiRMLFddWsj
460,Referred Cases,Referred Cases,Cases copy,text,,n/a,fldj3UXN1pqTtFWBF
461,Referred Cases,Referred Cases,Claim State,multi dropdown,D48,n/a,fldAXR6iHz3hmQUL0
462,Referred Cases,Referred Cases,Property Type,dropdown,D49,n/a,fldt68Dq6b0jPnrCn
463,Referred Cases,Referred Cases,Insurance Company,dropdown,D50,n/a,fldgDe3J956swG3QH
464,Referred Cases,Referred Cases,Cause of Loss,multi dropdown,D51,n/a,fldR065qfU0oWQJjd
465,Referred Cases,Referred Cases,Address,long text,,n/a,fldgOmGrNi3Nwefgh
466,Referred Cases,Referred Cases,Contractor,dropdown,D52,n/a,fldD5orLL7QWDfv4g
467,Referred Cases,Referred Cases,Claim Type,multi dropdown,D53,n/a,fldmvlnJe05YizTBl
468,Referred Cases,Referred Cases,Client Phone Number,text,,n/a,fldNmD0vxYHOxSudc
469,Referred Cases,Referred Cases,Email,email,,n/a,fldFrpnuCf5azxCHU
470,Referred Cases,Referred Cases,Estimate Amount,money,,n/a,fldGbwVLtbMSYGDiY
471,Referred Cases,Referred Cases,Date of Loss,date,,n/a,fldKMh0VNSzhsGvLa
472,Referred Cases,Referred Cases,Policy Number,text,,n/a,fldgkQaHaRJjFTrwK
473,Referred Cases,Referred Cases,Claim Number,text,,n/a,fldH1GWKlU6UJgJ08
474,Referred Cases,Referred Cases,Claim Summary for Litigation,long text,,n/a,fldC2vbxHIp083oHa
475,Referred Cases,Referred Cases,IC Adjuster Contact Info,long text,,n/a,flduE9fyPCOgBYEzr
476,Referred Cases,Referred Cases,Opposing Appraiser,text,,n/a,fldGmY9b59QQlel3T
477,Referred Cases,Referred Cases,Appraiser,dropdown,D54,n/a,fld1oH9nVf3vPI5KL
478,Referred Cases,Referred Cases,Create Date,created time,,n/a,fldn7OhuxgN6I82Wh
479,Referred Cases,Referred Cases,Fail Test A,text,,n/a,fldJDudNhiLE0UdFO
480,Referred Cases,Referred Cases,Referred Attorney,multi dropdown,D55,n/a,fldKxzsj9zDkbpjvg
481,Referred Cases,Referred Cases,First Name,text,,n/a,fldjFTn5GJ76VUMe4
482,Referred Cases,Referred Cases,Last Name,text,,n/a,fldtxYloxuNndFxx8
483,Referred Cases,Referred Cases,ITEL/NTS Report,file,,n/a,fldv3TeFQ0Yhl4YeF
484,Referred Cases,Referred Cases,Client Phone Number 2,phone,,n/a,fldmkQg8Kl0IZiozn
485,Referred Cases,Referred Cases,CompanyCam Link,url,,n/a,fldhWFClXWFa1KbZO
486,Referred Cases,Referred Cases,Damage Overview Slides Link,url,,n/a,fldwi68f0E3WJqpUo
487,Referred Cases,Referred Cases,Certificate of Completion,file,,n/a,fldzR78ETNroTKuWg
488,Referred Cases,Referred Cases,Sync Source,externalSyncSource,,n/a,fldKHTn0Tx98gPMFp
489,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Partner Name,text,,n/a,fldIZhZ5peMjzfzlf
490,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Status,dropdown,D56,n/a,fldoIIxUDrDis2d63
491,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Partner Type,dropdown,D57,n/a,flddn7JSepogvn4Km
492,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Logo,file,,n/a,fldA1spgPltlDWy95
493,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Attorney Name,text,,n/a,flditYGtkZxrlAHxl
494,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,RP Contact Name,rich text,,n/a,fldmtmCdeUO6HMmy6
495,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,License States,multi dropdown,D58,n/a,fldmdO8ydzDclRV10
496,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,CLG Email,email,,n/a,fldTrUA1mYdkkh2vP
497,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Email,email,,n/a,fldpd8nkYAswKsA0s
498,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Office Number,phone,,n/a,fldgncPvvNwDvXvaj
499,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Mobile Number,phone,,n/a,fldI28x0z4nQawBFO
500,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Fax Number,phone,,n/a,fldZtiJaxe4osWa2F
501,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Physical Address,rich text,,n/a,fldf3sUZQrf6IChy9
502,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Mailing Address,rich text,,n/a,fldHVdVObYxO2Nq0A
503,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Bar No.,rich text,,n/a,fldD292tQhaixzvSV
504,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Domain,url,,n/a,fldwMaUDbjKo0Wa5w
505,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,W9,file,,n/a,fld5jMUyqt0D8QifF
506,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Additional Details,rich text,,n/a,fldsnT2lcIGAECOU9
507,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,RP Fee Percentages,dropdown,D59,n/a,fldaeB0zG9aFmX3Dx
508,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,RP Fee Percentages - 2026,dropdown,D60,n/a,fldkQ5v9k8Nb4EL0C
509,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Counsel ID,formula,,n/a,fld0iFcqbjmB74IdY
510,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,# of Active Cases,rollup,,n/a,fldYHTESheXvGGsq7
511,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Assigned Cases,link to record,,n/a,fld0VKACiUBGDdLkR
512,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Referred Cases,link to record,,n/a,fldoltko2t58xccWw
513,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,🤖 Users,link to record,,n/a,fldjgm3y8U7PGPlks
514,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Draft - Letter of Representations,url,,n/a,fld5ehZgFb0WXMWEW
515,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Draft - Retainer Agreements,url,,n/a,fldXinPBqEKmOaLwy
516,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel Start Date,date,,n/a,fld1JLYpR4U7AmO1t
517,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Managed Cases,link to record,,n/a,fldlsdwmTd7ClAkkh
518,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Draft - Retainer Agreement - [Claimant],url,,n/a,fldnXbNoX8tMiOv3o
519,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Draft - Retainer Agreement - [Claimant] & [Spouse or Domestic Partner],url,,n/a,fldjSJLuld0if70ye
520,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Draft - Retainer Agreement - [Entity],url,,n/a,fldAoSday9ECE9YlQ
521,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Co-Counsel & Referral Partners 🧑‍⚖️🦺,Draft - Retainer Agreement - [Claimant]  (.docx file),file,,n/a,fldhsX1fDz0vYCJCr
522,Invoices,Invoices,Invoice Number,text,,n/a,fld0nIrFLyL2LfDeZ
523,Invoices,Invoices,Reference Number,text,,n/a,fldBF0pLEC4ZQ35R8
524,Invoices,Invoices,Amount,money,,n/a,fld4IV51nYuWFN08Y
525,Invoices,Invoices,Invoice Status,dropdown,D61,n/a,flddcHu6A7P3tSo2e
526,Invoices,Invoices,Attachement,file,,n/a,fldUVmPTdx7x6bBat
