#,table,category,field_name,field_type,dropdown_id,on_c01985_screen,airtable_field_id
62,Case,Client Docs,Expense Documents,file,,yes,fldTkSAeUTNeS2KLT
63,Case,Client Docs,Client Photos,file,,yes,fld8oTgKFwwWgIxIN
64,Case,Client Docs,Expert Documents,file,,yes,fldQabqTzMxP1p99o
65,Case,Client Docs,Supporting Documents,file,,yes,fldX5EuOvCpINgpkd
66,Case,Client Docs,Public Adjuster Documents,file,,yes,fld6oYVEUfoJdzEgv
67,Case,Client Docs,Contractor Documents,file,,yes,fldzkufOPm6TQ1Yed
68,Case,Client Docs,Property Damage Documents,file,,yes,fldPdoeyIfzuPvJ4J
69,Case,Client Docs,Weather Reports,file,,yes,fldBY1yBVS79qBnsD
70,Case,Client Docs,External Documentation Links,rich text,,yes,fldHnmSazu7oZxcM6
71,Case,Insurance & OC Docs,Insurance Company,dropdown,D16,yes,fldiKAFhYTEYN1wkT
72,Case,Insurance & OC Docs,Opposing Counsel Firm,dropdown,D17,yes,fldb4M4AAia7d9LJc
73,Case,Insurance & OC Docs,Current Desk Adjuster,dropdown,D18,yes,fldcnFN4hgkpmp8wn
74,Case,Insurance & OC Docs,Current Opposing Counsel,dropdown,D19,yes,fldRQkxjY9dHVkWBS
75,Case,Insurance & OC Docs,Desk Adjuster Email,email,,yes,fldY7S06zFvY8MXdq
76,Case,Insurance & OC Docs,Opposing Counsel Email,email,,yes,fldnaZXHGPOzjRaik
77,Case,Insurance & OC Docs,IC Adjuster Contact Info,long text,,yes,fldzHlOi6dg0uShfh
78,Case,Insurance & OC Docs,Opposing Counsel Contact Info,rich text,,yes,fldjRRqxF9GSUQF7y
79,Case,Insurance & OC Docs,Policy Documents,file,,yes,fldfIDql9fOVW9KY7
80,Case,Insurance & OC Docs,Carrier Estimate Documents,file,,yes,fldo4KJECzpMKdRig
81,Case,Insurance & OC Docs,Carrier Payment Documents,file,,yes,fld4f5B8AvEQdntEU
82,Case,Insurance & OC Docs,Carrier Coverage Documents,file,,yes,fldoeTcLkS1bYk6TZ
83,Case,Insurance & OC Docs,Carrier Expert Documents,file,,yes,fld2mCZUg13GAVkHV
84,Case,Insurance & OC Docs,Carrier Inspection Documents,file,,yes,fldyTRrx84PR90Qti
85,Case,Insurance & OC Docs,Carrier Supporting Documents,file,,yes,fldh0WLd54RYlKdXX
86,Case,Letter of Rep. & Retainers,🔵 RP LOR,file,,yes,fldJRPsbIPWBys78c
87,Case,Letter of Rep. & Retainers,🔵 RP Contract,file,,yes,fldl33i3YKVNCXiUw
88,Case,Letter of Rep. & Retainers,🔵 Completed Retainer Agreement,file,,yes,fldd3bElvNDTnkoiz
89,Case,Letter of Rep. & Retainers,🔵 LOR/DL,file,,yes,fldn2IwvdDsXZQoeJ
90,Case,Letter of Rep. & Retainers,Client Consent Forms,file,,yes,fldvFcaZ9LgY1gEmA
91,Case,Letter of Rep. & Retainers,RP Claim Fee %,percent,,yes,fld0bbVesO5fox5Ei
92,Case,Letter of Rep. & Retainers,Retainer Sent,date,,yes,fldcwPNRUvJElw4F8
93,Case,Letter of Rep. & Retainers,Retainer Signed Date,date,,yes,flddWl7BHXQsYw2Lx
94,Case,Letter of Rep. & Retainers,Welcome Email Sent,date,,yes,fldWGgKahuJ7XRn8X
95,Case,Letter of Rep. & Retainers,LOR/DL Sent to IC,date,,yes,fldh5cxyaV1W1F5Yw
96,Case,Letter of Rep. & Retainers,Days Since Retained,formula,,yes,fldEVb3g8dKcssEid
97,Case,Appraisal Initiation & Appraiser Details,Appraisal Type,dropdown,D20,yes,fldk6JNhlC0FHdumy
98,Case,Appraisal Initiation & Appraiser Details,Recommended Appraiser,dropdown,D21,yes,fldE3YQHYwfZx8vIf
99,Case,Appraisal Initiation & Appraiser Details,Appraisal Consent,checkbox,,yes,fldtGYARmHWv1gmdk
100,Case,Appraisal Initiation & Appraiser Details,Insured's Appraiser,link to record,,yes,fldoYMzEPz5XJZv64
101,Case,Appraisal Initiation & Appraiser Details,Insured's Appraiser - Portal Access,link to record,,yes,fldp6d4OxVIdRSrt5
102,Case,Appraisal Initiation & Appraiser Details,Carrier's Appraiser,text,,yes,fldSuHL2OrnRv3RnC
103,Case,Appraisal Initiation & Appraiser Details,RP Appraiser,dropdown,D22,yes,fldW8GhCD9Oz6t13V
104,Case,Firm Appraisal Demand,Appraisal Demand Letter Draft,url,,yes,fldcgakqkNI5sTmIM
105,Case,Firm Appraisal Demand,Appraisal Demand Letter,file,,yes,fld71VLLdD7664DXp
106,Case,Firm Appraisal Demand,Appraisal Demand sent to IC,date,,yes,fldWQTbSqKLwn2Clm
107,Case,Firm Appraisal Demand,Appraisal Demand Response Due,formula,,yes,fld413A3xBATbIC58
108,Case,Firm Appraisal Demand,Appraisal Demand Escalation sent to IC,date,,yes,fldA2wlIkGFFQLsLb
109,Case,Firm Appraisal Demand,Appraisal Demand Escalation Response Due,formula,,yes,fldRRwZt2Nr7zRuwm
110,Case,Carrier Appraisal Demand,Carrier Initiated Appraisal Demand,file,,yes,fldfv9vZPhqIO7U1F
111,Case,Carrier Appraisal Demand,Appraisal Demand Rec'd from IC,date,,yes,fld5Bsn85FzQHrECV
112,Case,Carrier Appraisal Demand,Firm Appraisal Response Due,formula,,yes,fldkNSBr2mUI4jRIC
113,Case,Carrier Appraisal Demand,Appraisal Response Sent to IC,date,,yes,fld6aVYy8weQdH0eB
114,Case,Appraisal Response(s) & Docs,Appraisal Response(s),file,,yes,fldlZeZL6WuMqy8XP
115,Case,Appraisal Response(s) & Docs,Appraisal Documents,file,,yes,fldwyV3zBowIqY5MD
116,Case,Appraisal Response(s) & Docs,Appraiser Client Agreement,file,,yes,fld4ZI2kCwxUYM2NI
117,Case,Appraiser Progress & Notes,Appraiser Next Steps,multi dropdown,D23,yes,fldS0SSbcGy5grJHx
118,Case,Appraiser Progress & Notes,Show Appraisal Milestone Steps,checkbox,,yes,fldSwjtUBnHRRfZPZ
119,Case,Appraiser Progress & Notes,Notes for Appraiser,rich text,,yes,flduqIp5ECt8cIVG6
120,Case,Appraiser Progress & Notes,Appraiser Response Notes,rich text,,yes,fld039PmqNMOnEu75
121,Case,Appraisal Process Milestone Steps,Step 1: Initial Appraisal Inspection Scheduled,checkbox,,yes,fldtuqe7c4SAdMFLS
122,Case,Appraisal Process Milestone Steps,Step 1 Completed 📅,date,,yes,fldwEyIvUpmI1iXIf
123,Case,Appraisal Process Milestone Steps,Step 2: Site Inspection Completed,checkbox,,yes,fldA5F7KH8iaqRyyX
124,Case,Appraisal Process Milestone Steps,Step 2 Completed 📅,date,,yes,fldHFqn9583TWX6xv
125,Case,Appraisal Process Milestone Steps,Step 3: Appraisers Estimate Prepared,checkbox,,yes,fldBlvHCa6DB7ZeDF
126,Case,Appraisal Process Milestone Steps,Step 3 Completed 📅,date,,yes,fldG5cMGJ3vEfwIVE
127,Case,Appraisal Process Milestone Steps,Step 4: Appraiser Estimate Exchanged ,checkbox,,yes,fld0QlMTvDQJVZPzZ
128,Case,Appraisal Process Milestone Steps,Step 4 Completed 📅,date,,yes,fldsROoq94OLrsTFS
129,Case,Appraisal Process Milestone Steps,Step 5: Joint Scope Review Conducted,checkbox,,yes,fldOaU9o0qwHuFeSc
130,Case,Appraisal Process Milestone Steps,Step 5 Completed 📅,date,,yes,fldF65LOUO6hPSIoh
131,Case,Appraisal Process Milestone Steps,Step 6: Umpire Selected,checkbox,,yes,fldP2Q5n8LScV5Gj3
132,Case,Appraisal Process Milestone Steps,Step 6 Completed 📅,date,,yes,fldR022G1tLVnpLFw
133,Case,Appraisal Process Milestone Steps,Step 7: Umpire Discussions Initiated,checkbox,,yes,flduTgtCW0efl5gV2
